,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,all,BirthCoords,BirthLat,BirthLon
3212,2219,"Williams, Glynn",Male,born 1939,1939.0,,"Shrewsbury, United Kingdom",,http://www.tate.org.uk/art/artists/glynn-williams-2219,,"(52.70730289999999, -2.7553268)",52.70730289999999,-2.7553268
3213,1731,"Ozenfant, Amédée",Male,1886–1966,1886.0,1966.0,"Saint Quentin, France","Cannes, France",http://www.tate.org.uk/art/artists/amedee-ozenfant-1731,,"(49.847066, 3.2874)",49.847066,3.2874
3214,2389,"Pacheco, Ana Maria",Female,born 1943,1943.0,,"Goiás, Brasil",,http://www.tate.org.uk/art/artists/ana-maria-pacheco-2389,,"(-15.7050424, -49.36531489999999)",-15.7050424,-49.36531489999999
3215,13759,"Pak, Sheung Chuen",Male,born 1977,1977.0,,"Fujian, Zhonghua",,http://www.tate.org.uk/art/artists/pak-sheung-chuen-13759,,"(24.451694, 118.084251)",24.451694,118.084251
3216,1734,"Paladino, Mimmo",Male,born 1948,1948.0,,"Paduli, Italia",,http://www.tate.org.uk/art/artists/mimmo-paladino-1734,,"(41.1737587, 14.9038451)",41.1737587,14.9038451
3217,12007,"Panting, John",Male,1940–1974,1940.0,1974.0,New Zealand,"London, United Kingdom",http://www.tate.org.uk/art/artists/john-panting-12007,,"(-40.900557, 174.885971)",-40.900557,174.885971
3218,1737,"Paolini, Giulio",Male,born 1940,1940.0,,"Genova, Italia",,http://www.tate.org.uk/art/artists/giulio-paolini-1737,,"(44.4056499, 8.946256)",44.4056499,8.946256
3219,14433,"Pape, Lygia",Female,1927–2004,1927.0,2004.0,"Nova Friburgo, Brasil","Rio de Janeiro, Brasil",http://www.tate.org.uk/art/artists/lygia-pape-14433,,"(-22.2887261, -42.5340796)",-22.2887261,-42.5340796
3220,1742,"Parker, Ray",Male,1922–1990,1922.0,1990.0,"Beresford, United States",,http://www.tate.org.uk/art/artists/ray-parker-1742,,"(43.0805446, -96.77365499999999)",43.0805446,-96.77365499999999
3221,2750,"Parr, Martin",Male,born 1952,1952.0,,"Epsom, United Kingdom",,http://www.tate.org.uk/art/artists/martin-parr-2750,,"(51.336036, -0.267382)",51.336036,-0.267382
3222,1774,"Piper, John",Male,1903–1992,1903.0,1992.0,"Epsom, United Kingdom","Henley-on-Thames, United Kingdom",http://www.tate.org.uk/art/artists/john-piper-1774,,"(51.336036, -0.267382)",51.336036,-0.267382
3223,7052,"Starling, Simon",Male,born 1967,1967.0,,"Epsom, United Kingdom",,http://www.tate.org.uk/art/artists/simon-starling-7052,,"(51.336036, -0.267382)",51.336036,-0.267382
3224,9107,"Parreno, Philippe",Male,born 1964,1964.0,,"Oran, Al-Jaza'ir",,http://www.tate.org.uk/art/artists/philippe-parreno-9107,,"(35.6987388, -0.6349319)",35.6987388,-0.6349319
3225,413,"Parsons, Alfred",Male,1847–1920,1847.0,1920.0,Beckington,"England, United Kingdom",http://www.tate.org.uk/art/artists/alfred-parsons-413,,"(51.2652812, -2.2870732)",51.2652812,-2.2870732
3226,1743,"Partridge, David",Male,1919–2006,1919.0,2006.0,"Akron, United States","Toronto, Canada",http://www.tate.org.uk/art/artists/david-partridge-1743,,"(41.0814447, -81.51900529999999)",41.0814447,-81.51900529999999
3227,9591,"Pascali, Pino",Male,1935–1968,1935.0,1968.0,"Bari, Italia",,http://www.tate.org.uk/art/artists/pino-pascali-9591,,"(41.1171432, 16.8718715)",41.1171432,16.8718715
3228,2652,"Patterson, Richard",Male,born 1963,1963.0,,"Leatherhead, United Kingdom",,http://www.tate.org.uk/art/artists/richard-patterson-2652,,"(51.29640699999999, -0.33112)",51.29640699999999,-0.33112
3229,2397,"Patterson, Simon",Male,born 1967,1967.0,,"Leatherhead, United Kingdom",,http://www.tate.org.uk/art/artists/simon-patterson-2397,,"(51.29640699999999, -0.33112)",51.29640699999999,-0.33112
3230,2200,"Pears, Charles",Male,1873–1958,1873.0,1958.0,"Pontefract, United Kingdom","Truro, United Kingdom",http://www.tate.org.uk/art/artists/charles-pears-2200,,"(53.691688, -1.308648)",53.691688,-1.308648
3231,5715,"Penn, Irving",Male,1917–2009,1917.0,2009.0,"Plainfield, United States","Manhattan Island, United States",http://www.tate.org.uk/art/artists/irving-penn-5715,,"(39.70421229999999, -86.39943869999999)",39.70421229999999,-86.39943869999999
3232,417,"Penny, Edward",Male,1714–1791,1714.0,1791.0,"Knutsford, United Kingdom","Chiswick, United Kingdom",http://www.tate.org.uk/art/artists/edward-penny-417,,"(53.3005939, -2.371833)",53.3005939,-2.371833
3233,1754,"Penone, Giuseppe",Male,born 1947,1947.0,,"Garessio, Italia",,http://www.tate.org.uk/art/artists/giuseppe-penone-1754,,"(44.2038199, 8.0142285)",44.2038199,8.0142285
3234,1757,"Perera, Ed",Male,born 1936,1936.0,,Sri Lanka,,http://www.tate.org.uk/art/artists/ed-perera-1757,,"(7.873053999999999, 80.77179699999999)",7.873053999999999,80.77179699999999
3235,1758,"Perlin, Bernard",Male,1918–2014,1918.0,2014.0,"Richmond, United States",,http://www.tate.org.uk/art/artists/bernard-perlin-1758,,"(37.5407246, -77.4360481)",37.5407246,-77.4360481
3236,9560,"Pernice, Manfred",Male,born 1963,1963.0,,"Hildesheim, Deutschland",,http://www.tate.org.uk/art/artists/manfred-pernice-9560,,"(52.154778, 9.9579652)",52.154778,9.9579652
3237,419,"Peters, Rev. Matthew William",Male,1742–1814,1742.0,1814.0,"Freshwater, United Kingdom","Brasted, United Kingdom",http://www.tate.org.uk/art/artists/rev-matthew-william-peters-419,,"(50.6851905, -1.5099181)",50.6851905,-1.5099181
3238,2754,"Pettibon, Raymond",Male,born 1957,1957.0,,"Tucson, United States",,http://www.tate.org.uk/art/artists/raymond-pettibon-2754,,"(32.2226066, -110.9747108)",32.2226066,-110.9747108
3239,1761,"Pevsner, Antoine",Male,1884–1962,1884.0,1962.0,"Orel, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/antoine-pevsner-1761,,"(52.9668468, 36.06248980000001)",52.9668468,36.06248980000001
3240,11963,"Phaophanit, Vong",Male,born 1961,1961.0,,"Savannakhét, Lao",,http://www.tate.org.uk/art/artists/vong-phaophanit-11963,,"(16.5720526, 104.7686868)",16.5720526,104.7686868
